,ODpair,wage,P(mode1),P(mode2),P(mode3),P(mode4),P(mode5),P(mode6)
0,263-262,2500,3.1098252769420696e-05,1.357565418523946e-149,7.031897837075698e-52,0.04309163210318081,2.6222877039579218,2.639160487609276e-10
1,263-262,7500,3.2126950443158e-05,1.5912484261793072e-149,8.168779527046831e-52,0.040918959831849205,2.4091136874116277,2.731630672166917e-10
2,263-262,12500,6.239245600252317e-05,0.0,1.7839014599393453e-51,0.07304412503019657,4.160670422272015,5.315048410458612e-10
3,263-262,17500,5.989056467012792e-05,0.0,1.9255211593340826e-51,0.06444804463770785,3.551673903881328,5.111592411870923e-10
4,263-262,22500,8.885909839242845e-05,0.0,3.212498237683067e-51,0.08789240894060776,4.686191384598873,7.598403936391744e-10
5,263-262,30000,0.00013072496230037968,0.0,5.635418627355376e-51,0.11394759998057966,5.781517010174471,1.1210190658248174e-09
6,263-262,42500,0.00024192886796536064,0.0,1.398405493914375e-50,0.17081644132151422,7.979571706633112,2.0844852757045555e-09
7,263-262,62500,0.0009707246233752182,0.0,8.971104317828647e-50,0.48924966141582926,20.024501075324856,8.427482280846057e-09
8,263-262,87500,0.0014645338242434795,0.0,2.4333512758828764e-49,0.4843112229829528,16.802823924150683,1.2835551627531071e-08
9,263-262,125000,0.005463678314984925,0.0,0.0,0.9602762915867037,26.00122500331584,4.857023974005597e-08
10,263-262,225000,0.0,0.0,0.0,2.7666336965612635,38.67724727641212,7.841812691970149e-07
